,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
0,238,162,135,1,23,0,1,0,0,1321,2968.4295110114276,160.11838732355935,360.0,1.0,2,0,33161,3,25.76,-80.15
5,121,317,42,1,31,0,1,0,0,5021,3464.1399683624095,160.3167741020468,360.0,1.0,0,1,33156,6,25.75,-80.36
7,14,5,148,0,36,1,2,0,0,1873,2393.524704634079,93.17756979424867,360.0,1.0,1,0,33145,3,25.9,-80.18
9,287,351,114,1,28,1,0,0,0,741,957.1250898959075,93.34844569104,360.0,1.0,1,1,33176,3,25.76,-80.24
11,150,194,39,1,23,1,0,0,0,3361,578.1648948043473,261.9949722431033,300.0,1.0,2,1,33039,3,25.67,-80.27
13,282,281,30,1,32,0,0,0,0,2391,766.2730242349583,120.27776960692748,360.0,1.0,0,0,33147,3,25.71,-80.5
14,139,161,127,1,40,1,2,0,0,2060,1761.3428632863515,111.26374582228873,360.0,1.0,0,1,33033,3,25.52,-80.24
19,223,20,172,0,26,1,0,0,0,2854,2822.767981684403,140.3546057220006,360.0,1.0,1,1,33185,3,25.56,-80.18
22,259,317,31,0,29,0,0,1,0,1350,4218.8887822642355,141.37074560785118,360.0,1.0,1,1,33139,7,25.76,-80.24
24,82,209,73,1,26,0,0,0,0,1563,998.2826348758265,219.22065744454375,360.0,1.0,2,1,33182,3,25.76,-80.32
25,359,318,61,1,39,1,1,0,0,870,1383.1301528094941,96.17139384727136,360.0,1.0,2,1,33150,0,25.81,-80.33
26,92,256,136,1,25,0,0,0,0,4693,1899.680962837623,113.23327882364323,360.0,1.0,0,1,33170,3,25.81,-80.36
28,192,13,135,1,25,1,0,1,0,1565,1086.5597498566663,101.44575318011928,360.0,0.0,1,0,33129,3,25.78,-80.26
29,206,141,101,1,39,1,0,0,0,1007,2542.5361389891127,94.32999327662873,360.0,1.0,0,0,33130,0,25.65,-80.47
38,75,240,111,1,39,0,1,0,0,1893,1769.1875303610418,112.34757130540328,180.0,0.0,2,1,33010,3,25.56,-80.34
39,56,296,166,1,25,0,0,0,0,1843,1483.8578001356852,132.35859262401505,360.0,1.0,2,1,33125,3,25.7,-80.21
42,208,216,1,0,24,0,1,0,0,2679,2193.2621540738214,132.5882204934195,360.0,0.0,0,1,33173,3,25.96,-80.38
44,74,179,39,1,21,1,3,0,1,2203,3017.8483929318027,138.75834694949523,360.0,0.0,1,1,33149,3,25.93,-80.47
47,204,249,51,1,41,1,0,0,1,1621,1717.8023455543048,145.24228025826758,360.0,0.0,1,0,33109,1,25.49,-80.29
48,173,281,1,1,36,1,2,0,0,867,3975.5457013329988,171.8146211075328,360.0,0.0,0,1,33162,1,25.75,-80.15
51,288,324,53,1,27,0,0,0,0,2909,1638.483743874042,141.27078246434567,360.0,1.0,1,1,33149,3,25.56,-80.28
54,151,139,62,1,20,0,2,0,0,2805,2152.913216184765,97.85513769303164,180.0,1.0,2,1,33018,4,25.81,-80.17
56,304,71,128,1,30,1,1,0,0,3919,1952.7190936225886,139.68398850212273,60.0,0.0,0,1,33180,2,25.68,-80.41
60,78,150,135,1,38,1,0,0,0,2184,2265.1601207413755,183.65256605864454,360.0,1.0,1,1,33160,3,25.82,-80.24
61,140,210,1,1,34,0,0,0,0,3593,2383.0003359368434,118.04765155755818,360.0,1.0,0,1,33194,0,25.93,-80.18
62,47,173,96,0,45,0,0,0,0,1010,3489.8686397415704,230.44761614314487,360.0,1.0,2,1,33129,3,25.65,-80.13
64,344,54,7,1,19,0,1,0,0,3880,975.9717643203267,146.26866706911406,360.0,0.0,0,1,33184,1,25.89,-80.4
68,58,60,133,1,48,0,0,0,0,1542,1708.0250810532473,168.7216878227402,360.0,1.0,1,1,33193,3,25.93,-80.19
71,61,73,54,1,27,1,1,0,0,762,1538.8881564705493,111.67215971693622,360.0,1.0,2,1,33150,3,25.49,-80.51
72,6,143,1,1,30,1,2,0,0,849,3391.3991054555877,124.44754660408188,360.0,1.0,2,1,33184,4,25.83,-80.4
74,56,43,155,1,46,1,3,0,0,2604,3019.4341974990793,131.20609821043482,360.0,1.0,0,1,33175,1,25.76,-80.46
77,40,296,28,1,45,1,1,0,1,1908,658.6004772167498,107.517941445442,360.0,1.0,1,0,33144,3,25.73,-80.31
78,289,171,96,1,38,0,3,0,0,2397,1738.6985175088178,96.42600560068493,360.0,1.0,1,1,33162,3,25.5,-80.24
79,217,165,135,1,30,1,2,0,0,1815,1247.359966475992,177.6723814450462,360.0,0.0,2,1,33186,3,25.92,-80.32
80,295,301,151,1,51,0,0,0,0,1422,2298.972204963328,192.66265640468822,360.0,1.0,1,1,33101,3,25.46,-80.3
82,216,266,135,1,33,0,0,0,0,1867,2297.6694787510132,111.63850797991054,360.0,1.0,2,1,33143,3,25.85,-80.41
85,327,11,135,1,29,0,0,0,0,1454,1133.1497642233758,174.86203013915892,360.0,1.0,0,0,33190,3,25.93,-80.51
86,122,281,10,1,38,0,1,1,0,2621,1616.2608688181247,111.74054664461406,300.0,1.0,1,1,33182,0,25.86,-80.28
88,297,204,96,1,28,1,0,0,0,3120,1734.4581926307508,100.69444454239795,360.0,1.0,1,1,33138,6,25.89,-80.28
89,398,212,1,0,49,0,3,0,0,3147,1610.5603485670188,169.7291269808789,360.0,0.0,2,1,33194,2,25.52,-80.27
95,162,285,81,1,23,0,0,1,0,1951,1786.2516687196826,203.24274814662667,360.0,1.0,1,1,33015,3,25.56,-80.2
96,173,181,135,1,23,0,1,0,0,2529,1463.5199807453798,130.48269985048523,120.0,1.0,0,1,33149,0,25.76,-80.24
97,370,226,111,1,31,1,0,1,1,1844,2666.500872681735,99.61161406151295,360.0,0.0,2,1,33149,3,25.76,-80.3
